match,home_team,away_team,player_team,opposition_team,market_name,player_name,line,over_price,agency
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Madison Prespakis,14.5,1.004,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Madison Prespakis,19.5,1.05,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Madison Prespakis,24.5,1.28,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Madison Prespakis,29.5,2.15,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Madison Prespakis,34.5,5.25,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Bonnie Toogood,9.5,1.005,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Bonnie Toogood,14.5,1.08,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Bonnie Toogood,19.5,1.48,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Bonnie Toogood,24.5,3.15,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Bonnie Toogood,29.5,8.5,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Bonnie Toogood,34.5,23,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Georgia Nanscawen,9.5,1.005,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Georgia Nanscawen,14.5,1.08,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Georgia Nanscawen,19.5,1.48,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Georgia Nanscawen,24.5,3.15,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Georgia Nanscawen,29.5,8.5,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Georgia Nanscawen,34.5,23,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Elizabeth Keaney,9.5,1.06,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Elizabeth Keaney,14.5,1.45,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Elizabeth Keaney,19.5,3.35,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Elizabeth Keaney,24.5,10,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Sophie Van De Heuvel,9.5,1.08,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Sophie Van De Heuvel,14.5,1.62,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Sophie Van De Heuvel,19.5,4.33,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Sophie Van De Heuvel,24.5,13,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Stephanie Wales,9.5,1.08,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Stephanie Wales,14.5,1.62,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Stephanie Wales,19.5,4.33,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Stephanie Wales,24.5,13,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Stephanie Cain,9.5,1.12,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Stephanie Cain,14.5,1.87,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Stephanie Cain,19.5,5.75,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Stephanie Cain,24.5,19,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Georgia Gee,9.5,1.12,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Georgia Gee,14.5,1.87,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Georgia Gee,19.5,5.75,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Georgia Gee,24.5,19,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Maddison Gay,9.5,1.12,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Maddison Gay,14.5,1.87,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Maddison Gay,19.5,5.75,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Maddison Gay,24.5,19,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Sophie Alexander,9.5,1.12,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Sophie Alexander,14.5,1.87,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Sophie Alexander,19.5,5.75,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Sophie Alexander,24.5,19,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Amelia Radford,9.5,1.18,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Amelia Radford,14.5,2.25,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Amelia Radford,19.5,7.5,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Amy Gaylor,9.5,1.18,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Amy Gaylor,14.5,2.25,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Amy Gaylor,19.5,7.5,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Daria Bannister,9.5,1.38,Bet365
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Essendon Bombers,Fremantle Dockers,Player Disposals,Daria Bannister,14.5,3.75,Bet365
