match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,prop_id,under_prop_id,agency
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Emily Bates,Hawthorn Hawks,Carlton,14.5,1.1,NA,15835,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Mimi Hill,Carlton,Hawthorn Hawks,14.5,1.15,NA,15841,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Eliza West,Hawthorn Hawks,Carlton,14.5,1.15,NA,15836,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Tilly Lucas-Rodd,Hawthorn Hawks,Carlton,14.5,1.25,NA,15837,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Keeley Sherar,Carlton,Hawthorn Hawks,14.5,1.25,NA,15842,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Jasmine Fleming,Hawthorn Hawks,Carlton,14.5,1.4,NA,15838,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Gabriella Pound,NA,NA,14.5,1.65,NA,15843,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Mattea Breed,Hawthorn Hawks,Carlton,14.5,1.65,NA,15839,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Kaitlyn Ashmore,Hawthorn Hawks,Carlton,14.5,1.8,NA,15840,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Keeley Skepper,Carlton,Hawthorn Hawks,14.5,2,NA,15844,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Darcy Vescio,Carlton,Hawthorn Hawks,14.5,2,NA,15845,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Abbie McKay,Carlton,Hawthorn Hawks,19.5,1.3,NA,15858,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Mimi Hill,Carlton,Hawthorn Hawks,19.5,1.6,NA,15853,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Emily Bates,Hawthorn Hawks,Carlton,19.5,1.65,NA,15847,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Keeley Sherar,Carlton,Hawthorn Hawks,19.5,2,NA,15854,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Tilly Lucas-Rodd,Hawthorn Hawks,Carlton,19.5,2.1,NA,15849,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Eliza West,Hawthorn Hawks,Carlton,19.5,2.3,NA,15848,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Jasmine Fleming,Hawthorn Hawks,Carlton,19.5,3.3,NA,15850,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Gabriella Pound,NA,NA,19.5,3.5,NA,15855,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Mattea Breed,Hawthorn Hawks,Carlton,19.5,4,NA,15851,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Keeley Skepper,Carlton,Hawthorn Hawks,19.5,4.5,NA,15856,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Darcy Vescio,Carlton,Hawthorn Hawks,19.5,6,NA,15857,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Kaitlyn Ashmore,Hawthorn Hawks,Carlton,19.5,7,NA,15852,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Abbie McKay,Carlton,Hawthorn Hawks,24.5,2.2,NA,15870,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Mimi Hill,Carlton,Hawthorn Hawks,24.5,2.6,NA,15865,NA,TAB
